"""m2.price"",""construction.year"",""surface"",""floor"",""no.rooms"",""district"""
"5733,1996,32,10,1,""Srodmiescie"""
"4363,1981,69,1,3,""Mokotow"""
"3303,2009,120,3,4,""Wola"""
"4235,1924,56,10,2,""Zoliborz"""
"2531,1949,147,1,6,""Wola"""
"4300,1928,110,3,4,""Zoliborz"""
"2489,1949,131,4,4,""Ursus"""
"3512,1937,59,2,2,""Wola"""
"3805,1929,94,1,3,""Bielany"""
"4336,2005,46,1,2,""Bielany"""
"1623,1987,148,10,6,""Wola"""
"5086,1995,111,1,4,""Srodmiescie"""
"2458,1977,99,8,3,""Ursynow"""
"4065,1928,83,8,4,""Zoliborz"""
"2711,1983,79,7,4,""Ursus"""
"2507,1959,104,7,3,""Ursynow"""
"4813,1952,79,7,4,""Srodmiescie"""
"3318,1923,103,5,3,""Praga"""
"5079,1973,52,8,2,""Srodmiescie"""
"2183,1972,127,7,5,""Ursus"""
"4055,2010,64,2,2,""Praga"""
"3637,1994,76,7,4,""Mokotow"""
"2779,1977,92,5,4,""Wola"""
"5303,1925,40,1,2,""Mokotow"""
"2343,1960,96,9,4,""Praga"""
"3022,1988,63,6,3,""Praga"""
"5172,1970,103,1,4,""Srodmiescie"""
"3415,1928,83,6,3,""Praga"""
"2567,1971,108,5,5,""Wola"""
"2691,1984,146,9,5,""Mokotow"""
"2007,1957,124,9,5,""Ursynow"""
"4650,1925,25,9,2,""Ochota"""
"3658,1927,24,10,2,""Ursus"""
"3786,1922,91,10,4,""Ochota"""
"4239,1929,106,4,4,""Ochota"""
"5604,1959,25,6,1,""Srodmiescie"""
"3449,1970,60,2,3,""Bielany"""
"3294,1947,81,1,4,""Bielany"""
"4018,1988,58,6,2,""Zoliborz"""
"3646,2000,30,10,1,""Bielany"""
"4299,1928,50,1,2,""Bielany"""
"4304,1925,50,10,2,""Mokotow"""
"3308,1921,64,9,3,""Ursus"""
"1990,1993,146,7,5,""Bemowo"""
"2068,1961,148,6,5,""Bielany"""
"2315,1991,88,10,4,""Ursus"""
"3846,1978,80,5,3,""Mokotow"""
"1861,1940,129,10,5,""Bemowo"""
"3055,1969,24,10,2,""Ursynow"""
"4454,1948,50,2,3,""Mokotow"""
"2671,1927,108,10,5,""Bielany"""
"3616,1981,83,7,3,""Mokotow"""
"4192,1993,36,7,1,""Ochota"""
"2807,1958,109,3,4,""Wola"""
"1820,1972,148,8,6,""Praga"""
"5311,1926,29,2,2,""Ochota"""
"4006,1990,24,1,1,""Praga"""
"2885,1990,122,10,4,""Mokotow"""
"4713,2005,149,6,6,""Srodmiescie"""
"2219,1964,108,9,4,""Ursynow"""
"3486,1964,131,3,4,""Mokotow"""
"4222,1927,48,2,2,""Ursynow"""
"5476,1998,52,10,2,""Srodmiescie"""
"2267,1978,113,8,4,""Bielany"""
"3023,1955,33,10,1,""Bemowo"""
"3916,1952,33,10,1,""Ochota"""
"3559,1967,59,10,3,""Mokotow"""
"3574,1924,98,3,3,""Ursynow"""
"4916,1945,53,9,3,""Srodmiescie"""
"2425,1956,83,10,3,""Praga"""
"2076,1948,112,10,4,""Bemowo"""
"3222,1963,63,4,3,""Bielany"""
"3631,1954,42,3,1,""Ursynow"""
"2507,1950,89,8,4,""Bemowo"""
"4255,1989,80,1,3,""Zoliborz"""
"2866,1959,108,2,5,""Praga"""
"4208,1974,84,1,3,""Zoliborz"""
"2331,1929,137,10,6,""Ursynow"""
"2278,1992,127,6,5,""Ursus"""
"3657,1921,29,10,1,""Ursynow"""
"3281,1959,52,5,2,""Bielany"""
"3479,1967,47,3,3,""Ursus"""
"3554,1999,105,2,4,""Ursus"""
"5982,1926,57,4,3,""Srodmiescie"""
"4426,1962,132,5,5,""Srodmiescie"""
"3685,1936,56,9,3,""Ochota"""
"3121,2003,128,4,4,""Ursus"""
"3703,1949,25,4,1,""Ursus"""
"3834,2002,62,4,3,""Ursus"""
"3195,2009,146,1,5,""Praga"""
"6451,1924,35,2,2,""Srodmiescie"""
"4264,2005,44,2,2,""Wola"""
"2662,1944,84,7,4,""Bielany"""
"5396,1948,20,8,2,""Srodmiescie"""
"5065,2004,113,7,4,""Srodmiescie"""
"2836,1984,121,10,5,""Zoliborz"""
"2250,1950,120,7,5,""Bemowo"""
"2836,1975,76,6,4,""Ursynow"""
"5144,1922,56,1,2,""Ochota"""
"4075,1920,68,10,3,""Ochota"""
"3021,1962,128,8,4,""Zoliborz"""
"2895,1971,55,8,3,""Bielany"""
"2888,1975,121,10,4,""Mokotow"""
"3451,2005,125,1,4,""Ursus"""
"3010,1952,84,4,3,""Praga"""
"4549,1939,30,4,1,""Mokotow"""
"5056,2000,49,2,3,""Ochota"""
"3003,1951,90,3,4,""Bielany"""
"3367,1977,53,4,2,""Ursynow"""
"3133,1967,102,1,3,""Ursus"""
"3820,1956,68,7,2,""Ochota"""
"3234,1998,147,9,6,""Zoliborz"""
"4411,1960,24,6,1,""Zoliborz"""
"4889,1947,86,6,3,""Srodmiescie"""
"4493,1969,31,4,2,""Zoliborz"""
"3940,1990,101,2,3,""Zoliborz"""
"3728,1971,97,4,4,""Zoliborz"""
"3944,2005,71,2,3,""Bielany"""
"2114,1978,124,8,5,""Ursynow"""
"2823,1992,118,2,4,""Bielany"""
"2743,1923,131,7,5,""Ursynow"""
"3590,1936,76,8,3,""Ochota"""
"4109,2003,94,7,3,""Ochota"""
"3947,1946,55,7,2,""Mokotow"""
"1921,1957,148,7,6,""Bemowo"""
"5970,1943,38,1,1,""Srodmiescie"""
"3371,1973,53,4,2,""Praga"""
"3498,1955,85,8,3,""Ochota"""
"3436,1990,126,4,4,""Ochota"""
"3686,1982,106,3,5,""Zoliborz"""
"5884,1990,42,1,2,""Srodmiescie"""
"2509,1986,114,5,5,""Wola"""
"4401,1995,105,9,3,""Srodmiescie"""
"2961,1977,134,8,4,""Ochota"""
"3505,1971,94,7,3,""Ochota"""
"2605,1941,114,4,5,""Bemowo"""
"4163,1938,54,5,2,""Zoliborz"""
"5531,1996,52,9,3,""Srodmiescie"""
"4159,2005,124,3,4,""Zoliborz"""
"3617,1931,63,6,3,""Ursus"""
"5140,2008,26,4,2,""Mokotow"""
"5753,1923,105,1,4,""Srodmiescie"""
"4287,1928,46,1,3,""Wola"""
"3626,2009,107,1,4,""Praga"""
"2331,1944,132,5,5,""Ursynow"""
"3791,1996,136,5,5,""Ochota"""
"3049,1980,40,9,1,""Bielany"""
"2536,1943,106,6,4,""Bielany"""
"3370,1924,128,1,5,""Bielany"""
"4253,2005,50,1,3,""Ursynow"""
"3252,1940,65,4,2,""Praga"""
"4636,1946,31,3,1,""Mokotow"""
"3651,1931,145,5,6,""Zoliborz"""
"3624,2001,38,9,2,""Wola"""
"1987,1949,141,7,6,""Praga"""
"2653,1956,60,10,3,""Ursynow"""
"3029,2003,142,3,5,""Ursus"""
"4997,2000,20,6,2,""Ochota"""
"2734,1947,127,2,4,""Ursus"""
"2637,1967,86,7,4,""Bemowo"""
"2983,1965,92,3,4,""Ursus"""
"3291,1962,81,10,4,""Mokotow"""
"3626,1956,42,3,1,""Ursynow"""
"3819,1988,58,8,2,""Mokotow"""
"2785,1957,116,2,5,""Ursus"""
"2733,1968,137,9,6,""Zoliborz"""
"5844,1962,21,4,1,""Srodmiescie"""
"3574,1989,68,9,3,""Ochota"""
"3727,1961,62,8,3,""Mokotow"""
"2898,1990,40,10,2,""Praga"""
"4935,1995,62,8,3,""Srodmiescie"""
"4465,1932,48,8,3,""Ochota"""
"2768,1985,108,3,5,""Wola"""
"3535,1942,62,1,3,""Bemowo"""
"3909,1991,24,2,1,""Praga"""
"3307,1988,144,3,5,""Mokotow"""
"5201,1946,70,5,2,""Srodmiescie"""
"4211,1981,109,10,4,""Srodmiescie"""
"3645,1999,146,5,6,""Mokotow"""
"1783,1957,147,9,5,""Wola"""
"3336,2003,76,7,4,""Praga"""
"3076,1978,92,2,4,""Praga"""
"3504,1933,95,4,3,""Bemowo"""
"3233,1972,77,2,4,""Ursynow"""
"4700,1950,100,6,4,""Srodmiescie"""
"3151,1934,70,10,3,""Ursus"""
"2204,1966,140,5,6,""Bielany"""
"3327,1971,42,6,1,""Bemowo"""
"3576,1934,87,4,3,""Bemowo"""
"3425,1997,72,7,3,""Bemowo"""
"2548,1956,80,9,3,""Ursus"""
"2961,1987,39,10,1,""Ursus"""
"2099,1939,105,10,5,""Wola"""
"2882,1998,127,6,5,""Ursynow"""
"3411,1925,64,8,3,""Bemowo"""
"1872,1950,148,8,5,""Bielany"""
"3261,1970,104,8,4,""Mokotow"""
"3645,1963,40,3,1,""Praga"""
"3050,1958,75,5,2,""Bemowo"""
"3748,1997,40,8,1,""Praga"""
"3298,1928,90,6,4,""Praga"""
"4384,2006,52,9,2,""Mokotow"""
"4863,2009,69,2,3,""Zoliborz"""
"4075,2008,63,2,2,""Ursus"""
"2568,1990,118,4,5,""Praga"""
"4296,1997,40,2,2,""Ursus"""
"3943,1963,101,2,3,""Zoliborz"""
"5001,1939,95,4,3,""Srodmiescie"""
"4162,1931,79,8,3,""Mokotow"""
"3784,1999,87,2,3,""Ursynow"""
"2121,1976,128,8,4,""Bielany"""
"3992,1984,41,8,2,""Zoliborz"""
"4251,1997,130,1,5,""Mokotow"""
"3923,1966,28,10,2,""Mokotow"""
"2638,1956,111,4,5,""Bielany"""
"5128,1956,72,5,3,""Srodmiescie"""
"3743,1996,136,5,6,""Ochota"""
"3397,1967,25,7,1,""Praga"""
"3742,1952,31,3,1,""Ursus"""
"3354,1948,70,2,3,""Ursynow"""
"4310,2001,129,1,4,""Zoliborz"""
"3912,1983,84,4,3,""Mokotow"""
"3401,1940,105,7,3,""Zoliborz"""
"3377,1957,92,8,4,""Ochota"""
"3068,2007,148,2,5,""Ursus"""
"4048,1942,90,2,3,""Zoliborz"""
"3619,1972,38,3,2,""Praga"""
"3924,1931,123,5,5,""Mokotow"""
"4962,1995,39,5,1,""Mokotow"""
"3060,1951,34,9,2,""Ursus"""
"2633,1977,62,10,3,""Wola"""
"2755,1950,125,2,4,""Wola"""
"2762,1951,139,9,5,""Zoliborz"""
"4839,2007,61,3,3,""Ochota"""
"2545,2000,130,9,5,""Ursynow"""
"1967,1945,123,10,4,""Wola"""
"5530,1944,47,4,2,""Srodmiescie"""
"3397,1958,55,3,3,""Ursynow"""
"3314,1975,144,3,5,""Ochota"""
"3289,1978,91,9,4,""Mokotow"""
"5328,1955,57,5,2,""Srodmiescie"""
"2468,1971,148,2,5,""Wola"""
"4573,1927,63,6,2,""Zoliborz"""
"3309,1968,39,6,2,""Bielany"""
"3643,1949,41,3,1,""Praga"""
"3325,1932,72,8,3,""Wola"""
"3567,1984,68,9,3,""Ochota"""
"2243,1986,106,9,4,""Praga"""
"4756,1941,39,1,1,""Mokotow"""
"2474,1994,148,2,5,""Ursynow"""
"2220,1936,123,7,5,""Bemowo"""
"2740,1979,91,6,3,""Wola"""
"3802,1965,25,3,1,""Wola"""
"3182,1985,57,5,3,""Wola"""
"2927,1986,97,3,4,""Ursynow"""
"3382,1920,132,10,4,""Zoliborz"""
"3021,1985,98,2,4,""Ursynow"""
"3105,1967,49,7,2,""Bemowo"""
"2011,1949,114,10,5,""Wola"""
"5899,1937,25,3,1,""Srodmiescie"""
"2664,1945,94,6,4,""Ursus"""
"3054,1936,95,2,4,""Ursynow"""
"4061,1992,94,1,4,""Ochota"""
"4044,1987,46,7,2,""Zoliborz"""
"3037,1942,26,10,2,""Praga"""
"2642,1984,111,4,5,""Ursus"""
"2336,1981,106,8,4,""Bielany"""
"2972,1950,63,7,2,""Wola"""
"2656,1994,129,2,5,""Bielany"""
"3092,1927,106,6,5,""Praga"""
"4345,1969,66,2,2,""Zoliborz"""
"3315,1995,98,8,4,""Zoliborz"""
"2792,1936,126,1,5,""Wola"""
"3661,1934,114,9,4,""Mokotow"""
"2747,1998,140,6,5,""Bemowo"""
"3241,1983,86,1,4,""Ursynow"""
"2866,1968,113,2,4,""Ursynow"""
"3776,1966,62,8,2,""Ochota"""
"3764,1997,39,8,1,""Wola"""
"3742,2003,46,7,2,""Bemowo"""
"2112,1988,129,8,4,""Ursus"""
"4276,1999,72,8,2,""Ochota"""
"2926,1991,87,4,4,""Bemowo"""
"2849,1945,105,3,4,""Praga"""
"3424,1941,53,3,3,""Bemowo"""
"3360,1962,129,4,5,""Zoliborz"""
"4221,1991,43,6,1,""Mokotow"""
"2592,1949,91,7,4,""Bielany"""
"4220,1924,118,3,4,""Mokotow"""
"4147,1996,55,2,2,""Ursus"""
"2715,1994,93,6,3,""Bemowo"""
"2175,1992,133,7,4,""Ursynow"""
"2666,1992,133,2,4,""Praga"""
"4164,1955,44,6,2,""Ochota"""
"4117,1980,33,8,1,""Ochota"""
"3702,1971,50,1,2,""Praga"""
"4578,1970,42,2,2,""Zoliborz"""
"2647,1994,95,6,4,""Bemowo"""
"2639,2004,126,9,4,""Wola"""
"3206,1976,69,4,2,""Wola"""
"3001,2009,100,8,4,""Ursus"""
"5894,1922,91,1,4,""Srodmiescie"""
"2543,1987,126,4,4,""Bemowo"""
"3285,1962,51,5,2,""Ursynow"""
"3577,1932,37,10,1,""Wola"""
"4968,1937,98,4,3,""Srodmiescie"""
"2968,1925,83,10,4,""Praga"""
"2894,1975,56,8,3,""Ursus"""
"2269,1989,138,5,5,""Wola"""
"2491,1981,136,3,5,""Bemowo"""
"5142,1922,101,8,3,""Srodmiescie"""
"3969,1969,78,4,3,""Mokotow"""
"3304,1931,55,10,3,""Ursus"""
"3728,1966,82,6,3,""Ochota"""
"2792,1935,126,1,5,""Ursynow"""
"4758,1934,59,4,3,""Zoliborz"""
"3248,2009,70,9,3,""Wola"""
"3737,1985,31,3,1,""Wola"""
"3320,1994,93,9,3,""Zoliborz"""
"1732,1957,137,10,6,""Bielany"""
"3449,1953,130,3,5,""Zoliborz"""
"2938,2005,131,5,5,""Praga"""
"1899,1941,130,10,4,""Bielany"""
"3813,1934,119,7,4,""Ochota"""
"4056,1938,24,9,2,""Ochota"""
"3775,1997,23,9,2,""Ursynow"""
"2341,1940,131,5,5,""Praga"""
"3112,1970,44,8,1,""Wola"""
"3828,1960,32,2,1,""Praga"""
"3127,1983,37,8,2,""Bemowo"""
"2186,1964,131,7,4,""Wola"""
"5039,1921,51,2,3,""Mokotow"""
"3762,1933,24,9,2,""Ursus"""
"3215,1924,144,10,5,""Mokotow"""
"5378,1929,22,2,2,""Mokotow"""
"5384,1928,82,7,4,""Srodmiescie"""
"3382,1993,32,6,2,""Wola"""
"3539,1992,61,1,3,""Ursus"""
"2427,1999,137,9,6,""Bielany"""
"3604,1958,40,3,2,""Ursynow"""
"5133,1940,92,3,3,""Srodmiescie"""
"2886,1959,51,9,2,""Wola"""
"3273,1987,53,5,2,""Praga"""
"5072,1987,108,1,5,""Srodmiescie"""
"3520,2005,118,1,4,""Bielany"""
"3608,1939,124,2,5,""Mokotow"""
"3753,1993,45,10,2,""Mokotow"""
"3078,1940,112,9,4,""Zoliborz"""
"2570,2001,148,7,5,""Bielany"""
"3506,1957,34,5,1,""Ursynow"""
"2554,1965,90,8,3,""Bemowo"""
"3899,1975,35,10,1,""Ochota"""
"6595,1933,30,1,2,""Srodmiescie"""
"4613,1996,89,2,4,""Ochota"""
"3828,1951,27,2,2,""Wola"""
"4120,1996,28,5,2,""Bielany"""
"3143,1994,76,3,4,""Ursus"""
"2740,1932,116,9,4,""Ursynow"""
"5130,2002,112,6,5,""Srodmiescie"""
"2308,1968,149,3,6,""Wola"""
"3248,1949,100,9,3,""Ochota"""
"3429,1940,37,5,2,""Wola"""
"3573,1977,63,10,2,""Zoliborz"""
"2179,1985,127,7,5,""Ursus"""
"2376,1957,147,3,5,""Ursynow"""
"4133,1987,137,7,6,""Srodmiescie"""
"3475,1975,78,9,3,""Mokotow"""
"3786,1937,61,8,2,""Ochota"""
"3095,2002,81,9,4,""Bielany"""
"3343,1935,81,1,3,""Bielany"""
"4189,1993,106,10,5,""Srodmiescie"""
"4131,1935,132,2,5,""Mokotow"""
"3086,1949,116,8,5,""Mokotow"""
"3689,1972,31,3,2,""Bemowo"""
"3812,1998,144,4,5,""Mokotow"""
"4408,1949,104,9,3,""Srodmiescie"""
"2031,1974,127,9,4,""Wola"""
"4019,1973,23,10,1,""Mokotow"""
"2710,2007,109,10,4,""Praga"""
"3474,1941,53,3,2,""Praga"""
"2076,1941,107,10,5,""Ursynow"""
"3681,2008,107,9,5,""Ochota"""
"2954,1996,130,5,5,""Wola"""
"3448,1927,55,9,2,""Ursynow"""
"2040,1958,141,7,5,""Ursynow"""
"5623,2008,118,1,4,""Srodmiescie"""
"2672,1945,113,4,4,""Praga"""
"4075,1927,107,5,5,""Zoliborz"""
"2898,1920,130,6,4,""Bemowo"""
"4507,1950,79,10,4,""Srodmiescie"""
"2454,1959,85,9,4,""Ursus"""
"5670,1930,103,2,4,""Srodmiescie"""
"3002,1968,105,2,3,""Bemowo"""
"2416,1948,93,9,3,""Praga"""
"2331,1971,102,9,3,""Bielany"""
"1802,1986,145,9,5,""Ursus"""
"3398,1990,65,2,3,""Ursynow"""
"3036,1950,131,7,5,""Ochota"""
"3184,1993,112,8,4,""Mokotow"""
"3323,1965,73,2,3,""Ursus"""
"1801,1984,150,8,6,""Wola"""
"2245,1940,110,8,5,""Bemowo"""
"3768,1998,148,4,5,""Mokotow"""
"3420,1937,53,3,3,""Ursus"""
"2962,1998,124,6,4,""Ursus"""
"3391,1927,131,1,4,""Ursus"""
"4144,1931,76,8,4,""Ochota"""
"2229,1952,122,7,5,""Wola"""
"4801,1957,70,9,2,""Srodmiescie"""
"4353,1939,45,4,2,""Ochota"""
"2667,2004,133,8,4,""Ursynow"""
"2273,1948,123,7,4,""Bielany"""
"4025,2008,107,6,4,""Zoliborz"""
"3903,1921,145,3,5,""Ochota"""
