"","gender","age","class","embarked","fare","sibsp","parch","survived"
"129","female",30,"1st","Southampton",164.1704,0,0,1
"130","female",61,"1st","Southampton",26.11,0,0,1
"131","male",41,"1st","Southampton",26.11,0,0,0
"132","male",26,"3rd","Southampton",7.1711,0,0,0
"133","male",25,"2nd","Southampton",13,0,0,0
"134","female",40,"3rd","Queenstown",7.15,0,2,0
"135","male",42,"3rd","Queenstown",15.1,1,1,0
"136","female",32,"3rd","Queenstown",15.1,1,1,0
"137","female",45,"1st","Cherbourg",262.0706,0,0,1
"138","male",26,"3rd","Southampton",16.02,0,0,0
"139","male",42,"2nd","Southampton",13,0,0,0
"140","female",22,"1st","Southampton",55,0,1,1
"141","male",30,"2nd","Southampton",13,0,0,0
"142","female",22,"3rd","Queenstown",7.1406,0,0,1
"143","male",41,"1st","Southampton",30.1,0,0,0
"144","female",20,"3rd","Southampton",7.1701,0,0,0
"145","male",24,"2nd","Southampton",22,0,0,0
"146","male",48,"1st","Cherbourg",50.0911,0,0,0
"147","male",29,"3rd","Southampton",7,1,0,0
"148","male",23,"3rd","Southampton",7.05,1,0,0
"149","male",37,"1st","Southampton",26.11,0,0,1
"150","male",46,"1st","Cherbourg",39.12,0,0,0
"151","male",20,"2nd","Southampton",22,0,0,0
"152","male",32,"2nd","Southampton",13,0,0,0
"153","male",22,"3rd","Southampton",7.1511,0,0,0
"154","male",40,"3rd","Southampton",8.01,0,0,0
"155","female",18,"2nd","Southampton",13,0,0,1
"156","female",15,"2nd","Southampton",39,0,2,1
"157","female",59,"1st","Southampton",51.0907,2,0,1
"158","female",40,"2nd","Southampton",39,1,1,1
"159","female",44,"1st","Cherbourg",27.1405,0,0,1
"160","male",60,"2nd","Southampton",39,1,1,0
"161","female",20,"2nd","Southampton",26,1,0,1
"162","male",25,"2nd","Southampton",26,1,0,0
"163","female",22,"3rd","Queenstown",7.0508,0,0,0
"164","male",21,"3rd","Queenstown",7.1517,0,0,1
"165","female",58,"1st","Cherbourg",76.051,0,0,1
"166","male",7,"3rd","Cherbourg",15.0411,1,1,0
"167","female",10,"3rd","Cherbourg",15.0411,1,1,0
"168","female",40,"3rd","Cherbourg",15.0411,0,2,0
"169","male",19,"3rd","Queenstown",6.15,0,0,0
"170","female",41,"1st","Cherbourg",134.1,0,0,1
"171","female",17,"3rd","Queenstown",7.1707,0,0,0
"172","female",36,"2nd","Southampton",13,0,0,1
"173","male",26,"2nd","Southampton",13,0,0,0
"174","male",21,"3rd","Cherbourg",7.0407,0,0,0
"175","male",46,"1st","Southampton",26.11,0,0,0
"176","male",42,"2nd","Southampton",13,0,0,0
"177","female",40,"2nd","Southampton",13,0,0,1
"178","female",21,"3rd","Southampton",8.1303,0,0,0
"179","female",30,"3rd","Southampton",8.1303,0,0,0
"180","male",18,"3rd","Southampton",8.1303,0,0,0
"181","male",38,"3rd","Southampton",8.1303,0,0,0
"182","male",28,"1st","Southampton",31,0,0,0
"183","male",42,"1st","Southampton",26.0509,0,0,1
"184","male",0.8333333333,"2nd","Southampton",29,0,2,1
"185","male",26,"2nd","Southampton",29,1,1,1
"186","female",28,"2nd","Southampton",29,1,1,1
"187","male",17,"3rd","Southampton",8.1303,0,0,0
"188","male",17,"3rd","Southampton",8.1303,0,0,0
"189","female",35,"2nd","Southampton",21,0,0,1
"190","male",21,"2nd","Belfast",22,0,0,0
"191","female",22,"3rd","Queenstown",7.15,0,0,0
"192","male",21,"3rd","Queenstown",7.15,0,0,0
"193","female",52,"1st","Cherbourg",27.0811,0,0,1
"194","male",29,"3rd","Southampton",8.01,0,0,0
"195","male",28,"3rd","Cherbourg",14.0902,1,0,0
"196","female",18,"3rd","Cherbourg",14.0902,1,0,0
"197","male",19,"2nd","Southampton",13,0,0,0
"198","female",58,"1st","Cherbourg",512.0607,0,1,1
"199","male",36,"1st","Cherbourg",512.0607,0,1,1
"200","male",28,"3rd","Southampton",7.1511,0,0,0
"201","male",24,"3rd","Southampton",7.1701,0,0,0
"202","male",33,"1st","Southampton",5,0,0,0
"203","male",17,"1st","Southampton",47.02,0,0,0
"204","male",27,"1st","Southampton",47.02,0,0,0
"205","female",45,"3rd","Queenstown",7.15,0,0,0
"206","male",54,"2nd","Southampton",26,1,0,0
"207","male",11,"1st","Southampton",120,1,2,1
"208","female",13,"1st","Southampton",120,1,2,1
"209","female",45,"2nd","Southampton",26,1,0,0
"210","female",36,"1st","Southampton",120,1,2,1
"211","male",36,"1st","Southampton",120,1,2,1
"212","male",28,"3rd","Southampton",7.05,0,0,0
"213","male",49,"1st","Southampton",26,0,0,0
"214","female",36,"1st","Cherbourg",27.1405,0,0,1
"215","female",25,"1st","Southampton",78.17,1,0,1
"216","male",36,"1st","Southampton",78.17,1,0,0
"217","male",24,"3rd","Southampton",8.01,0,0,0
"218","male",46,"1st","Southampton",61.0306,1,0,0
"219","female",47,"1st","Southampton",61.0306,1,0,1
"220","male",27,"1st","Southampton",53.02,1,0,1
"221","female",32,"1st","Southampton",53.02,1,0,1
"222","male",52,"2nd","Southampton",13.1,0,0,0
"223","male",37,"2nd","Southampton",26,1,0,0
"224","female",29,"2nd","Southampton",26,1,0,0
"225","male",20,"3rd","Queenstown",7.1408,0,0,0
"226","female",36,"1st","Cherbourg",262.0706,0,0,1
"227","female",30,"1st","Southampton",86.1,0,0,1
"228","male",45,"1st","Cherbourg",29.14,0,0,1
"229","female",48,"1st","Southampton",55,0,1,1
"230","male",32,"3rd","Southampton",56.0911,0,0,1
"231","male",43,"1st","Belfast",89,0,0,0
"232","male",29,"3rd","Southampton",8.01,0,0,0
"233","female",25,"2nd","Southampton",30,1,1,1
"234","female",52,"2nd","Southampton",30,0,2,1
"235","male",26,"3rd","Cherbourg",14.0901,1,0,0
"236","male",21,"3rd","Cherbourg",14.0901,1,0,0
"237","male",29,"2nd","Southampton",26,1,0,0
"238","male",28,"2nd","Southampton",22,0,0,0
"239","female",28,"2nd","Southampton",27,1,0,1
"240","female",26,"1st","Cherbourg",136.1507,1,0,1
"241","male",27,"1st","Cherbourg",136.1507,1,0,0
"242","female",22,"1st","Southampton",151.16,0,0,1
"243","male",40,"1st","Southampton",52,0,0,0
"244","male",20,"3rd","Southampton",7.01,0,0,0
"245","male",18,"3rd","Southampton",8.01,0,0,1
"246","male",24,"3rd","Queenstown",7.05,0,0,0
"247","male",24,"3rd","Southampton",7.1711,0,0,0
"248","male",29,"2nd","Southampton",10.1,0,0,0
"249","male",27,"2nd","Southampton",13,0,0,0
"250","male",25,"2nd","Southampton",10.1,0,0,1
"251","male",37,"1st","Southampton",25.1109,0,0,0
"252","female",8,"2nd","Southampton",26.05,0,2,1
"253","male",31,"2nd","Southampton",26.05,1,1,0
"254","female",30,"2nd","Southampton",26.05,1,1,1
"255","male",36,"3rd","Southampton",7.1711,0,0,0
"256","female",39,"1st","Cherbourg",83.0302,1,1,1
"257","male",37,"1st","Cherbourg",83.0302,1,1,0
"258","female",64,"1st","Cherbourg",83.0302,0,2,1
"259","male",31,"3rd","Queenstown",7.1408,0,0,0
"260","male",40,"3rd","Queenstown",7.15,0,0,0
"261","female",23,"3rd","Queenstown",7.15,0,0,1
"262","female",41,"3rd","Queenstown",7.1207,0,0,0
"263","male",66,"3rd","Queenstown",7.15,0,0,0
"264","male",43,"3rd","Southampton",8.01,0,0,0
"265","female",22,"2nd","Southampton",10.1,0,0,1
"266","female",30,"2nd","Southampton",13,0,0,0
"267","female",32,"2nd","Southampton",21,0,0,0
"268","male",35,"3rd","Southampton",7.1711,0,0,0
"269","male",27,"3rd","Southampton",7.1711,0,0,0
"270","male",19,"3rd","Southampton",7.1711,0,0,0
"271","male",30,"3rd","Southampton",8.01,0,0,0
"272","female",55,"1st","Southampton",25.141,2,0,1
"273","female",16,"3rd","Queenstown",7.15,0,0,1
"274","male",21,"2nd","Southampton",11.1,0,0,0
"275","male",3,"3rd","Southampton",15.18,1,1,1
"276","male",9,"3rd","Southampton",15.18,1,1,1
"277","female",36,"3rd","Southampton",15.18,0,2,1
"278","male",58,"3rd","Southampton",7.05,0,0,0
"279","male",59,"1st","Southampton",26.11,0,0,0
"280","male",20,"3rd","Southampton",8.0302,0,0,0
"281","female",16,"3rd","Southampton",16.02,0,1,1
"282","male",43,"3rd","Southampton",16.02,0,1,0
"283","male",70,"1st","Southampton",71,1,1,0
"284","female",39,"1st","Southampton",26.11,0,2,1
"285","female",64,"1st","Southampton",71,1,1,1
"286","male",17,"3rd","Southampton",8.1303,0,0,0
"287","male",39,"1st","Cherbourg",71.0508,1,0,0
"288","female",35,"1st","Cherbourg",71.0508,1,0,1
"289","male",22,"2nd","Belfast",22,0,0,0
"290","male",28,"3rd","Cherbourg",7.0407,0,0,0
"291","female",22,"3rd","Southampton",10.1004,0,0,0
"292","male",45,"3rd","Southampton",8.01,0,0,1
"293","male",19,"3rd","Southampton",10.0305,0,0,0
"294","female",33,"3rd","Queenstown",6.19,0,0,1
"295","male",29,"3rd","Queenstown",7.15,0,0,1
"296","male",51,"1st","Southampton",26.11,0,0,1
"297","male",0.3333333333,"3rd","Southampton",14.08,0,2,0
"298","male",34,"3rd","Southampton",14.08,1,1,0
"299","female",28,"3rd","Southampton",14.08,1,1,0
"300","male",27,"1st","Southampton",30.1,0,0,1
"301","female",36,"1st","Southampton",151.16,0,0,1
"302","male",27,"3rd","Southampton",7.1711,0,0,0
"303","female",27,"1st","Cherbourg",52,1,2,1
"304","male",31,"1st","Cherbourg",52,1,0,0
"305","male",8,"2nd","Southampton",36.15,1,1,1
"306","male",24,"3rd","Southampton",24.03,2,0,0
"307","male",19,"2nd","Southampton",73.1,0,0,0
"308","male",22,"3rd","Southampton",8.01,0,0,0
"309","male",22,"3rd","Southampton",24.03,2,0,0
"310","male",17,"3rd","Southampton",8.01,2,0,0
"311","female",48,"2nd","Southampton",36.15,0,2,1
"312","female",28,"2nd","Southampton",13,0,0,1
"313","female",34,"3rd","Southampton",16.02,1,0,1
"314","male",32,"3rd","Southampton",16.02,1,0,0
"315","male",18,"2nd","Southampton",73.1,0,0,0
"316","male",1,"3rd","Southampton",20.1106,1,2,1
"317","female",0.1666666667,"3rd","Southampton",20.1106,1,2,1
"318","male",25,"3rd","Southampton",20.1106,1,2,0
"319","female",32,"3rd","Southampton",20.1106,1,2,1
"320","male",25,"3rd","Southampton",7.1711,0,0,0
"321","female",24,"2nd","Cherbourg",27.1405,1,0,1
"322","male",29,"2nd","Cherbourg",27.1405,1,0,0
"323","male",36,"3rd","Southampton",17.08,1,0,1
"324","female",36,"3rd","Southampton",17.08,1,0,1
"325","male",30,"3rd","Southampton",9.1,0,0,1
"326","male",25,"2nd","Southampton",31.1,0,0,0
"327","male",30,"3rd","Southampton",7.1711,0,0,0
"328","male",22,"3rd","Southampton",7.05,0,0,0
"329","male",26,"3rd","Southampton",7.05,0,0,0
"330","male",16,"3rd","Southampton",9.1,0,0,0
"331","female",19,"3rd","Queenstown",7.1707,0,0,1
"332","male",18,"2nd","Southampton",73.1,0,0,0
"333","male",31,"1st","Southampton",57,1,0,1
"334","female",17,"1st","Southampton",57,1,0,1
"335","male",17,"3rd","Southampton",7.1711,0,0,0
"336","male",42,"3rd","Southampton",8.1303,0,0,0
"337","male",43,"3rd","Southampton",7.1711,0,0,0
"338","male",52,"1st","Southampton",81.1702,1,1,1
"339","male",4,"1st","Southampton",81.1702,0,2,1
"340","female",34,"1st","Southampton",81.1702,1,1,1
"341","female",18,"2nd","Southampton",23,0,1,1
"342","female",34,"2nd","Southampton",23,0,1,1
"343","female",21,"3rd","Queenstown",7.15,0,0,0
"344","male",37,"3rd","Queenstown",7.15,0,0,0
"345","male",18,"3rd","Southampton",8.01,0,0,1
"346","male",22,"3rd","Queenstown",8.0902,0,0,0
"347","female",48,"1st","Cherbourg",106.0806,1,0,1
"348","female",27,"1st","Cherbourg",247.1005,1,1,1
"349","male",50,"1st","Cherbourg",106.0806,1,0,0
"350","male",55,"2nd","Southampton",26,0,0,0
"351","female",31,"3rd","Southampton",12.0906,0,0,1
"352","female",28,"3rd","Queenstown",7.15,0,0,0
"353","male",33,"3rd","Cherbourg",7.1711,0,0,0
"354","male",8,"2nd","Southampton",32.1,0,2,1
"355","male",42,"2nd","Southampton",32.1,1,1,0
"356","female",34,"2nd","Southampton",32.1,1,1,1
"357","female",27,"3rd","Queenstown",7.15,0,0,1
"358","female",24,"3rd","Southampton",8.01,0,0,1
"359","female",48,"1st","Cherbourg",56.1807,1,0,1
"360","male",49,"1st","Cherbourg",39.12,1,0,1
"361","male",39,"1st","Cherbourg",29.14,0,0,0
"362","male",24,"3rd","Southampton",7.11,0,0,1
"363","female",27,"2nd","Cherbourg",13.1702,1,0,1
"364","female",30,"2nd","Cherbourg",13.1702,1,0,1
"365","male",65,"3rd","Queenstown",7.15,0,0,0
"366","male",23,"3rd","Southampton",13.18,1,0,0
"367","female",22,"3rd","Southampton",13.18,1,0,1
"368","female",23,"1st","Cherbourg",83.0302,0,1,1
"369","male",18,"3rd","Southampton",7.1506,0,0,0
"370","male",25,"2nd","Southampton",13,0,0,0
"371","male",16,"3rd","Southampton",7.1506,0,0,0
"372","male",45,"3rd","Southampton",6.1906,0,0,0
"373","male",29,"3rd","Cherbourg",7.0406,0,0,0
"374","male",15,"3rd","Cherbourg",7.0407,1,1,0
"375","male",22,"3rd","Cherbourg",7.0407,1,1,0
"376","male",48,"3rd","Southampton",7.05,0,0,0
"377","female",5,"3rd","Southampton",12.0906,0,0,1
"378","male",21,"2nd","Southampton",13,0,0,0
"379","female",39,"1st","Cherbourg",247.1006,0,0,1
"380","male",37,"3rd","Southampton",7.01,0,0,0
"381","female",54,"1st","Cherbourg",78.0504,1,0,1
"382","female",36,"1st","Cherbourg",31.1307,0,0,0
"383","male",38,"3rd","Southampton",15.02,0,0,0
"384","male",18,"2nd","Southampton",13,0,0,0
"385","male",46,"3rd","Southampton",7.05,0,0,0
"386","male",26,"3rd","Queenstown",7.15,0,0,0
"387","male",49,"1st","Southampton",221.1507,0,0,0
"388","male",32,"2nd","Southampton",26,1,0,0
"389","male",18,"2nd","Southampton",10.1,0,0,0
"390","male",34,"3rd","Southampton",7.01,0,0,1
"391","male",18,"3rd","Southampton",7.1511,0,0,0
"392","female",48,"1st","Cherbourg",31.1308,0,0,1
"393","female",22,"3rd","Queenstown",7.15,0,0,0
"394","female",42,"1st","Cherbourg",110.1708,0,0,1
"395","male",28,"3rd","Queenstown",7.15,0,0,0
"396","male",48,"3rd","Queenstown",6.19,0,0,0
"397","male",36,"1st","Southampton",26.0509,0,0,1
"398","male",19,"3rd","Queenstown",7.1707,0,0,0
"399","male",20,"3rd","Queenstown",7.15,0,0,0
"400","male",32,"3rd","Southampton",56.0911,0,0,1
"401","female",20,"3rd","Southampton",34.0706,2,2,0
"402","female",7,"3rd","Southampton",34.0706,2,2,0
"403","male",23,"3rd","Southampton",8.01,0,0,0
"404","male",18,"3rd","Southampton",34.0706,2,2,0
"405","female",54,"3rd","Southampton",34.0706,1,3,0
"406","male",14,"3rd","Southampton",34.0706,1,3,0
"407","male",30,"1st","Southampton",27.15,0,0,0
"408","female",24,"1st","Southampton",263,3,2,1
"409","female",28,"1st","Southampton",263,3,2,1
"410","female",23,"1st","Southampton",263,3,2,1
"411","male",19,"1st","Southampton",263,3,2,0
"412","male",64,"1st","Southampton",263,1,4,0
"413","female",60,"1st","Southampton",263,1,4,1
"414","male",28,"3rd","Queenstown",7.15,0,0,0
"415","male",38,"2nd","Southampton",13,0,0,0
"416","female",32,"1st","Cherbourg",56.1807,0,0,1
"417","male",37,"1st","Southampton",26.11,0,0,0
"418","male",49,"1st","Southampton",133.13,2,0,1
"419","male",43,"1st","Cherbourg",27.1405,1,0,1
"420","female",42,"1st","Southampton",133.13,1,0,1
"421","female",22,"1st","Cherbourg",49.1,0,2,1
"422","male",60,"1st","Cherbourg",79.04,1,1,1
"423","female",48,"1st","Cherbourg",79.04,1,1,1
"424","male",39,"2nd","Belfast",22,0,0,0
"425","male",39,"1st","Southampton",89,0,0,0
"426","female",38,"2nd","Southampton",13,0,0,0
"427","male",37,"1st","Southampton",53.02,1,0,0
"428","female",35,"1st","Southampton",53.02,1,0,1
"429","male",36,"2nd","Southampton",26,0,0,0
"430","male",38,"2nd","Southampton",21,1,0,0
"431","male",33,"2nd","Southampton",21,1,0,0
"432","male",29,"3rd","Queenstown",7.141,0,0,0
"433","male",23,"3rd","Southampton",14.1,0,0,0
"434","female",39,"2nd","Southampton",13,0,0,1
"435","male",19,"2nd","Southampton",26,0,0,0
"436","male",26,"2nd","Southampton",10.1,0,0,0
"437","male",47,"1st","Southampton",38.1,0,0,0
"438","female",38,"3rd","Cherbourg",7.0407,0,0,1
"439","male",21,"3rd","Cherbourg",7.0406,0,0,0
"440","male",30,"3rd","Cherbourg",7.1711,0,0,0
"441","female",22,"1st","Cherbourg",59.08,0,1,1
"442","female",44,"1st","Cherbourg",59.08,0,1,1
"443","female",35,"1st","Southampton",211.1,0,0,1
"444","male",23,"1st","Cherbourg",79.04,0,0,0
"445","male",47,"2nd","Southampton",10.1,0,0,0
"446","male",19,"2nd","Southampton",11.1,1,0,0
"447","male",21,"2nd","Southampton",11.1,1,0,0
"448","male",24,"2nd","Southampton",13.1,0,0,0
"449","male",23,"3rd","Southampton",8.01,0,0,0
"450","male",31,"2nd","Southampton",13,0,0,0
"451","male",24,"2nd","Southampton",13,0,0,0
"452","female",17,"3rd","Queenstown",7.1408,0,0,1
"453","male",30,"2nd","Southampton",13,0,0,0
"454","female",18,"3rd","Queenstown",7.15,0,0,1
"455","male",47,"1st","Cherbourg",89.0201,1,0,1
"456","female",40,"1st","Cherbourg",89.0201,1,0,1
"457","male",71,"1st","Cherbourg",34.1301,0,0,0
"458","male",9,"3rd","Southampton",20.1006,0,2,1
"459","male",33,"3rd","Southampton",20.1006,1,1,0
"460","male",41,"3rd","Southampton",7.17,0,0,0
"461","female",31,"3rd","Southampton",20.1006,1,1,1
"462","male",9,"3rd","Southampton",46.18,5,2,0
"463","male",1,"3rd","Southampton",46.18,5,2,0
"464","male",11,"3rd","Southampton",46.18,5,2,0
"465","female",10,"3rd","Southampton",46.18,5,2,0
"466","female",16,"3rd","Southampton",46.18,5,2,0
"467","male",14,"3rd","Southampton",46.18,5,2,0
"468","male",42,"3rd","Southampton",46.18,1,6,0
"469","female",43,"3rd","Southampton",46.18,1,6,0
"470","male",53,"1st","Southampton",28.1,0,0,1
"471","female",19,"1st","Southampton",153.0903,0,0,1
"472","male",38,"1st","Southampton",30,0,1,0
"473","female",59,"1st","Southampton",153.0903,0,1,1
"474","male",52,"2nd","Southampton",13,0,0,0
"475","female",45,"1st","Cherbourg",63.0702,0,1,1
"476","male",23,"1st","Cherbourg",63.0702,0,1,1
"477","male",20,"engineering crew","Southampton",0,0,0,0
"478","male",41,"3rd","Southampton",8.01,0,0,0
"479","male",32,"3rd","Southampton",8.0615,0,0,0
"480","male",25,"3rd","Southampton",8.01,0,0,0
"481","male",46,"1st","Cherbourg",79.04,0,0,0
"482","male",19,"3rd","Southampton",9.1611,0,0,0
"483","male",37,"3rd","Southampton",7.1806,2,0,0
"484","male",28,"3rd","Southampton",7.1806,2,0,0
"485","male",19,"3rd","Southampton",7.1506,0,0,0
"486","female",24,"3rd","Southampton",8.17,0,0,0
"487","male",28,"3rd","Southampton",6.1904,1,0,0
"488","male",19,"3rd","Southampton",6.1904,1,0,0
"489","male",28,"3rd","Southampton",15.17,1,0,0
"490","female",24,"3rd","Southampton",15.17,1,0,1
"491","male",30,"2nd","Southampton",13,0,0,0
"492","male",0.5833333333,"2nd","Southampton",14.1,1,1,1
"493","female",23,"2nd","Southampton",14.1,0,2,1
"494","male",19,"3rd","Southampton",9.1,0,0,0
"495","male",27,"3rd","Cherbourg",7.0407,0,0,1
"496","male",18,"3rd","Cherbourg",7.0406,0,0,0
"497","male",35,"3rd","Cherbourg",7.0407,0,0,0
"498","male",41,"3rd","Southampton",14.0202,2,0,0
"499","male",26,"3rd","Southampton",7.1701,1,0,0
"500","male",21,"3rd","Southampton",7.1701,0,0,0
"501","female",45,"3rd","Southampton",14.0202,1,0,1
"502","male",45,"2nd","Southampton",13,0,0,0
"503","male",25,"1st","Cherbourg",55.081,1,0,1
"504","female",21,"1st","Cherbourg",55.081,1,0,1
"505","female",17,"3rd","Queenstown",7.1408,0,0,0
"506","female",21,"3rd","Southampton",7.11,0,0,0
"507","female",6,"2nd","Southampton",33,0,1,1
"508","male",48,"1st","Cherbourg",76.1407,1,0,1
"509","female",49,"1st","Cherbourg",76.1407,1,0,1
"510","male",39,"2nd","Southampton",33,0,1,0
"511","male",37,"1st","Southampton",42.08,0,0,0
